,future current,future sim,sim -5%,sim +5%
2025-01-11,104.54,101.57594101664924,99.9920607941874,103.38608984231992
2025-01-12,104.54,104.53408976775745,103.07057504265418,105.9976044928607
2025-01-13,102.72,103.89531736464085,102.6368108107336,105.15382391854808
2025-01-14,105.25,102.90211062595938,101.63135431913318,104.17286693278558
2025-01-15,102.25,105.7488457125524,104.43026735922024,107.25579240207487
2025-01-16,103.7,100.22377868858824,99.01450421405883,101.43305316311765
2025-01-17,106.71,104.05945452327992,102.81618803157464,105.3027210149852
2025-01-18,106.71,107.16374267766143,105.70682482569518,108.62066052962768
2025-01-19,106.71,107.6007493853933,106.46750088310412,108.96064758814032
2025-01-20,109.92,103.9986412359248,101.94037245917676,106.05691001267283
2025-01-21,107.06,109.3304204133498,107.91202107358637,110.98521964307379
2025-01-22,110.56,106.02170455319816,104.28819566713486,108.04413158693866
2025-01-23,114.74,109.49741784808955,107.92549280701454,111.06934288916456
2025-01-24,110.16,114.33409052823421,113.28908366356097,115.37909739290747
2025-01-25,110.16,107.92094196373216,106.62522709967445,109.43260930513284
2025-01-26,110.16,109.66414742082608,108.30265645726938,111.0256383843828
2025-01-27,112.1,107.07506532931963,105.66951710860087,108.27982094707855
2025-01-28,125.34,113.68095751838162,112.31261374936328,115.32297004120362
2025-01-29,126.75,127.4766979021376,125.41547618015335,129.53791962412186
2025-01-30,131.91,127.02266633729951,125.38273676215692,128.66259591244207
2025-01-31,129.99,132.709595564801,131.3474545710611,134.0717365585409
2025-02-01,105.2,130.36735344802884,128.19721849136215,132.53748840469552
2025-02-02,105.2,104.86249848695866,103.42950176021,106.2954952137073
2025-02-03,102.33,105.29649857635957,103.756916603463,107.09267754473888
2025-02-04,105.13,102.03753568236974,100.94305149934495,103.13201986539451
2025-02-05,107.13,103.67708358013667,102.32186094007616,105.03230622019716
2025-02-06,108.02,106.1689986465631,104.8629527841891,107.21383533646228
2025-02-07,110.62,108.25186282206668,106.751476123114,109.75224952101935
2025-02-08,110.62,112.69110377685254,111.0398659541978,114.01209403497634
2025-02-09,110.62,106.68687035552429,104.41323342721623,108.96050728383236
2025-02-10,110.25,108.4538498609162,107.06683003967593,110.18762463746654
2025-02-11,106.85,108.68319371111625,106.58048312540883,110.78590429682367
2025-02-12,99.16,105.54403507813205,104.12084021344575,106.96722994281836
2025-02-13,99.64,100.05030770101715,98.75193151902894,101.34868388300535
2025-02-14,92.6,98.35545765471477,96.77759940649906,99.93331590293049
2025-02-15,92.6,91.70183972595291,90.14914742751473,93.03271883889992
2025-02-16,92.6,91.01960070535911,89.79198802627546,92.45181549762337
2025-02-17,91.94,91.10545530942186,89.39190929047997,92.81900132836374
2025-02-18,88.62,91.66373383676721,90.7546026405133,92.5728650330211
2025-02-19,86.66,87.53657161267773,86.54025882157691,88.69893653562872
2025-02-20,87.6,86.4768361900035,85.2247116595415,87.55008578754234
2025-02-21,93.49,87.35310463576863,86.19093230996829,88.51527696156899
2025-02-22,93.49,93.41253796372263,92.23499323834724,94.78634014332727
2025-02-23,93.49,91.4671996398668,89.98847075761122,92.94592852212239
2025-02-24,92.17,94.54221806632066,93.36124429248147,95.72319184015983
2025-02-25,88.51,90.68315282553866,89.21274949726555,91.99017800622588
2025-02-26,93.66,88.92658861867449,87.61118980811946,90.24198742922951
2025-02-27,91.59,92.1696927102272,90.79618262112419,93.54320279933022
2025-02-28,97.45,92.67736837085675,91.63793540158383,93.71680134012968
2025-03-01,79.56,95.52808234420985,94.34040545522663,96.88542736019066
2025-03-02,79.56,78.51535927605741,77.80164847271888,79.34802187995237
2025-03-03,77.38,79.02573277520553,78.03962659489574,80.15271126698813
2025-03-04,76.06,76.9965346752472,76.25810954621471,77.82726294540876
2025-03-05,72.87,76.61534908096044,75.38918441360372,77.84151374831715
2025-03-06,74.78,73.36121493947844,72.43926351310299,74.2831663658539
2025-03-07,77.33,73.54812321626329,72.3861815209626,74.37808157004952
2025-03-08,77.33,76.81756513758258,75.94079011152023,77.84046933465532
2025-03-09,77.33,76.48434180296913,75.26942648675896,77.6992571191793
2025-03-10,76.83,77.74570680977563,76.74693138098519,78.91094481003114
2025-03-11,77.62,75.57302041719748,74.20166958120953,76.74846399090144
2025-03-12,78.76,75.79415114016456,74.34279851527532,77.00361166090559
2025-03-13,80.79,77.22609675589483,76.1562812155194,78.08194918819517
2025-03-14,80.04,80.3155945425589,79.23627231729279,81.21502973028066
2025-03-15,80.04,81.6087445223626,80.35853303827548,82.8589560064497
2025-03-16,80.04,79.83703701915371,78.65425442225003,80.82268918324012
2025-03-17,81.08,78.71485398669572,77.54111711803698,79.69296804391134
2025-03-18,84.28,81.14052225189016,80.0765370208234,82.2045074829569
2025-03-19,82.61,84.24679533916071,83.25765817507033,85.48321679427369
2025-03-20,81.02,82.11348201740535,80.88501492745525,83.34194910735545
2025-03-21,79.85,79.34549444948837,78.33902499651009,80.55325779306229
2025-03-22,79.85,81.40050592026722,79.75769033811076,83.04332150242368
2025-03-23,79.85,71.95526517175873,70.6552202815251,73.51531904003909
2025-03-24,77.93,76.93303403148342,75.32725603083944,78.5388120321274
2025-03-25,78.37,79.02254829378845,77.227791119899,80.59296082094174
2025-03-26,77.46,76.64742188729261,74.85186789657655,78.143716879556
