,future current,future sim,sim -5%,sim +5%
2024-11-30,105.33,97.13472402222203,95.03710225880539,99.04165289805535
2024-12-01,116.25,104.46443301266534,102.84828919824005,106.48461278069692
2024-12-02,116.25,114.43130794262424,112.71539817745744,116.14721770779104
2024-12-03,113.48,115.89768063061496,114.43480804428039,117.1167411192271
2024-12-04,112.13,112.34364448160463,110.82910280197171,113.85818616123753
2024-12-05,110.88,111.80723786057467,109.9984128789422,113.61606284220716
2024-12-06,107.19,107.3405072470014,105.74210605804382,108.93890843595898
2024-12-07,107.19,105.8678449365115,104.21728671074244,107.31208338405943
2024-12-08,107.19,104.14111526670908,102.50522422453204,105.57251992861396
2024-12-09,110.48,105.54411635506929,103.52855669833146,107.15656408045956
2024-12-10,109.27,107.02701656134782,105.60320930359026,108.73558527065688
2024-12-11,103.37,107.41382813026783,105.82439920218758,109.00325705834805
2024-12-12,101.81,102.43321496279516,100.82012804398235,104.04630188160797
2024-12-13,97.31,104.35024107521187,102.67626215596641,105.83822233676338
2024-12-14,97.31,98.7358331710428,97.13112448178919,100.18007099137105
2024-12-15,97.31,98.80218891673684,97.33476840443709,100.56309353149655
2024-12-16,101.07,98.14340921268992,96.85157135546922,99.43524706991062
2024-12-17,99.05,97.25179916251165,95.72714972828823,98.58586741745717
2024-12-18,105.9,95.29869918218888,93.2471943835632,97.05713186672519
2024-12-19,110.66,102.47267884722504,100.59222374599302,104.49778434085951
2024-12-20,114.83,108.99948175152714,106.9684268647407,111.03053663831356
2024-12-21,114.83,114.82275736749253,112.80305190590387,116.64049228292231
2024-12-22,114.83,114.91949746990646,112.74831401066588,117.09068092914704
2024-12-23,114.83,116.47552300876379,114.58738224225007,118.67835390302977
2024-12-24,114.83,115.09324959694105,113.22647370178603,116.96002549209607
2024-12-25,114.83,115.35040638443152,112.56874624951892,118.13206651934412
2024-12-26,120.67,106.83300230292802,104.47864983309361,109.18735477276243
2024-12-27,115.51,121.88160945048558,119.84027148029475,123.92294742067642
2024-12-28,115.51,115.4088630842598,113.60235575319136,117.21537041532827
2024-12-29,115.51,115.5641890764714,114.03850122307283,117.08987692986994
2024-12-30,115.51,115.60075397361979,114.03179035259366,117.1697175946459
2024-12-31,115.51,114.87935818277487,112.260539888707,117.49817647684273
2025-01-01,113.42,111.83184311850195,108.6404556860665,115.0232305509374
2025-01-02,112.15,110.34162493808387,106.83115538644662,113.55955536041799
2025-01-03,107.84,100.18349082186322,96.85843606395274,103.13909505111698
2025-01-04,107.84,101.23548735721906,98.33802221375274,104.61586335792975
2025-01-05,107.84,93.77323640970563,90.16570345157989,97.38076936783138
2025-01-06,106.42,103.69551396275533,100.27736684253864,107.60196781443156
2025-01-07,100.63,96.63370087085356,94.38654341305897,99.44264769309677
2025-01-08,98.39,107.72010783898165,105.80838533541346,109.39286502960383
2025-01-09,95.99,97.922753142221,96.32757750043997,99.51792878400202
2025-01-10,104.54,98.46789301198226,96.7763662569007,100.15941976706378
