,future current,future sim,sim -5%,sim +5%
2025-01-18,106.71,103.75457495922663,100.40747156346882,106.43225767583287
2025-01-19,106.71,105.92108751003121,103.7096795365077,108.13249548355472
2025-01-20,109.92,106.34529126551696,104.16682042645488,108.52376210457903
2025-01-21,107.06,106.65493683212753,104.07418150094693,109.75184322954425
2025-01-22,110.56,106.34727913040473,103.05035194751468,108.98482087671675
2025-01-23,114.74,109.03994978544112,105.63192116884687,112.44797840203536
2025-01-24,110.16,114.07496993948357,111.99653412520297,116.49981172281093
2025-01-25,110.16,108.58634581339749,105.56155833951561,111.006175792503
2025-01-26,110.16,105.00476249493497,101.64184158590123,107.69509922216196
2025-01-27,112.1,108.28516120291273,104.82368889334597,111.74663351247949
2025-01-28,125.34,110.68153210966707,107.1499056038547,115.09606524193254
2025-01-29,126.75,125.24718159110128,121.92786205869092,127.90263721702959
2025-01-30,131.91,127.83051848670118,123.65352733920393,131.31134444294887
2025-01-31,129.99,129.37484779031888,126.58976699801298,132.85619878070125
2025-02-01,105.2,124.7501430702052,120.73242968105912,128.7678564593513
2025-02-02,105.2,105.2344029277478,102.2445059833706,108.97177410821928
2025-02-03,102.33,101.80111226572531,98.95890264150204,104.6433218899486
2025-02-04,105.13,98.12124271606774,94.73618213808231,100.94212653105559
2025-02-05,107.13,99.65841070405054,96.67089084215014,102.64593056595095
2025-02-06,108.02,105.95155707127888,102.96108024759276,108.942033894965
2025-02-07,110.62,104.6786053297169,101.53515307701582,107.82205758241801
2025-02-08,110.62,109.16280798840285,106.96652121528138,111.35909476152433
2025-02-09,110.62,109.54140767516189,106.07942435356229,113.0033909967615
2025-02-10,110.25,108.66523064468713,105.46859152707003,111.86186976230421
2025-02-11,106.85,108.66507381474044,105.16933800565657,111.57818698897701
2025-02-12,99.16,99.45448008567959,96.05049191278238,103.53926589315626
2025-02-13,99.64,99.37303405681314,96.48356512148831,101.7809248362505
2025-02-14,92.6,93.47099587972946,91.17707319105438,96.22370310613954
2025-02-15,92.6,90.99812468816322,88.49353444384352,93.0852832250963
2025-02-16,92.6,93.37828649311342,90.04552932388813,96.71104366233868
2025-02-17,91.94,92.14493839629158,89.43463197546167,95.75868029073143
2025-02-18,88.62,88.87005538103297,86.44356253548642,91.29654822657952
2025-02-19,86.66,85.83444619312257,83.30099862928577,88.36789375695938
2025-02-20,87.6,85.20642547613578,82.79341093510611,87.61944001716543
2025-02-21,93.49,89.89885661918215,86.68451486463233,93.11319837373196
2025-02-22,93.49,91.79651359148085,89.24486229088095,94.98607771723071
2025-02-23,93.49,90.2175763629984,88.61720463554421,92.04657262294603
2025-02-24,92.17,91.37359929738041,89.07597382084353,94.24563114305151
2025-02-25,88.51,88.79008844816072,85.96663778818724,91.14296399813861
2025-02-26,93.66,86.6873677512051,84.34957965505782,89.41478719671025
2025-02-27,91.59,90.63090309618296,88.16049173464361,92.68957923079907
2025-02-28,97.45,90.90382884715926,88.49334093337423,93.31431676094431
2025-03-01,79.56,93.10112486095359,89.7703436046016,96.43190611730557
2025-03-02,79.56,79.0258256139054,76.92160907851473,81.13004214929606
2025-03-03,77.38,81.2318543910095,78.30605809829996,84.88909975689646
2025-03-04,76.06,74.82933223299878,71.9609080359562,77.69775643004137
2025-03-05,72.87,72.55415359994369,69.98411584882065,74.7570431009063
2025-03-06,74.78,73.10265999576622,71.09467007563359,75.11064991589883
2025-03-07,77.33,73.06752894464087,71.50922930893788,74.62582858034386
2025-03-08,77.33,75.71328171970475,73.39916184686663,78.79877488348893
2025-03-09,77.33,74.15685487082344,71.73770447191046,76.09217518995382
2025-03-10,76.83,80.84351217319454,78.02644979059835,83.66057455579073
2025-03-11,77.62,74.21634489866794,71.92584659107305,77.07946778316153
2025-03-12,78.76,76.77843744650504,74.77826082230578,78.27856991465448
2025-03-13,80.79,80.61653533116885,78.38795071847383,83.4022660970376
2025-03-14,80.04,80.56102920824222,77.50548899252732,83.61656942395713
2025-03-15,80.04,78.48752969132246,75.33971179488725,81.00578400847061
2025-03-16,80.04,78.32358268258034,74.9499497748548,80.85380736337449
2025-03-17,81.08,78.65591978732174,76.25404683326059,81.05779274138288
2025-03-18,84.28,81.5858653988078,79.10160436856277,84.07012642905282
2025-03-19,82.61,82.83204548002564,80.8416431912671,85.22052822653589
2025-03-20,81.02,80.08188890909983,77.36337087881527,82.80040693938439
2025-03-21,79.85,78.87986037369257,75.69325477391243,82.06646597347273
2025-03-22,79.85,78.68911056146915,75.44886471509798,81.46646414407302
2025-03-23,79.85,80.6544226836665,77.70734140990041,83.60150395743256
2025-03-24,77.93,75.23198349089019,73.18043264523502,77.28353433654534
2025-03-25,78.37,78.42088402209802,75.1666518487593,81.67511619543671
2025-03-26,77.46,76.35856862819638,74.39380717840449,78.81452044043624
