,initial,calibrated
0,0.11891714815563081,0.2633105005615908
1,11.214530995843123,17.037315331564983
2,0.695476743335009,0.6732323254844198
3,0.3533022373271623,0.4160111211302112
4,-0.66084836438972,-0.8312568385233023
5,0.34238816990041365,0.3782089271015829
6,0.04426802999234332,9.488437591187449e-09
7,226.95147998127612,266.3839661588212
8,5.375863962565834,3.0099145329811057
9,0.002431335007275096,0.018459214470945992
10,0.0020712514444468015,0.0026127752576912996
11,-0.0018607381365856905,-0.003247696896761619
12,0.0011906679462208403,0.018118189987679403
13,0.0012406220889864788,0.01421636215328223
14,0.5470588235294118,0.5470588235294118
