,initial,calibrated
0,0.11891714815563081,0.14896749106396023
1,11.214530995843123,17.02127304070902
2,0.695476743335009,0.5385139973024102
3,0.3533022373271623,0.2865938151874484
4,-0.66084836438972,-0.5246382811854704
5,0.34238816990041365,0.2368410226891296
6,0.2999084749020575,0.5591599089722343
7,0.014532344230687026,0.10521866913164574
8,0.0992307744930567,0.8675609289236028
9,0.5358208392046622,0.21051296244696988
10,1.5853003582180132,1.0302530480904755
11,-2.029649147348853,-1.5595323908207723
12,0.05650433604031585,0.38123979947903214
13,0.1591964372370132,0.4094502617307767
14,0.5470588235294118,0.5470588235294118
