Date,price,errors
09/11/2019,41.69,-5.426074598
10/11/2019,40.97,-0.975331207
11/11/2019,41.11,-1.156513933
12/11/2019,42.2,-0.018814318
13/11/2019,47.08,3.595660525
14/11/2019,45.32,-1.645225226
15/11/2019,37.9,-6.294033665
16/11/2019,38.1,-0.205899762
17/11/2019,36.82,-2.29603491
18/11/2019,41.36,3.159417759
