Date delivery,Date delivery,month,weekday,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6,weekday_7,monthly adjustments,S_adjusted_prices,weekly adjustments,price,ARIMA_fitted,SARIMA_fitted,SARIMA_residuals,original_price,trans_SARIMA_fitted,trans_residuals
2019-11-09,2019-11-09,11,5,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,0.06270175448496575,-0.7350378321745539,0.0,-0.6723360776895881,-0.6890420247333431,-0.6263402702483774,-0.04599580744121079,41.69000000000001,44.76688141586158,-3.076881415861571
2019-11-10,2019-11-10,11,6,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,0.06270175448496575,-0.5437785130313662,-0.20218153139324269,-0.6832582899396431,-0.721381296362536,-0.860861073270813,0.17760278333116986,40.970000000000006,29.85967394517062,11.110326054829386
2019-11-11,2019-11-11,11,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.06270175448496575,-0.74383137641634,0.0,-0.6811296219313743,-0.6033050464117515,-0.5406032919267858,-0.14052633000458847,41.11000000000001,50.691129069783585,-9.581129069783579
2019-11-12,2019-11-12,11,1,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,0.06270175448496575,-0.7273387246038809,0.0,-0.6646369701189152,-0.7135161383123259,-0.6508143838273601,-0.013822586291555083,42.20000000000001,43.120724055403954,-0.9207240554039444
2019-11-13,2019-11-13,11,2,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,0.06270175448496575,-0.6868034165840905,0.031657264965025834,-0.5924443971340989,-0.6993213647389042,-0.6049623452889126,0.012517948154813663,47.080000000000005,46.22128812347791,0.8587118765220936
2019-11-14,2019-11-14,11,3,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,0.06270175448496575,-0.7398505633917489,0.05896522331538291,-0.6181835855914003,-0.6896776062179131,-0.5680106284175644,-0.05017295717383585,45.31999999999999,48.77104026954092,-3.4510402695409255
2019-11-15,2019-11-15,11,4,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,0.06270175448496575,-0.8277360586970002,0.034477192122236155,-0.7305571120897982,-0.7159267244314895,-0.6187477778242876,-0.11180933426551065,37.900000000000006,45.28166927369467,-7.381669273694662
2019-11-16,2019-11-16,11,5,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,0.06270175448496575,-0.7901401725853778,0.0,-0.7274384181004121,-0.7616803946970717,-0.698978640212106,-0.028459777888306115,38.10000000000001,39.94095956775927,-1.8409595677592634
2019-11-17,2019-11-17,11,6,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,0.06270175448496575,-0.6080124993710436,-0.20218153139324269,-0.7474922762793206,-0.752231745340285,-0.891711522248562,0.1442192459692414,36.82000000000001,28.049382447896484,8.770617552103523
2019-11-18,2019-11-18,11,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.06270175448496575,-0.7400360930431846,0.0,-0.6773343385582189,-0.6696307791514289,-0.6069290246664631,-0.07040531389175575,41.36000000000001,46.0868506229158,-4.726850622915791
