Date delivery,Date delivery,price,ARIMA_fitted,ARIMA_residuals
2022-02-22,2022-02-22,123.24,99.08623257802428,24.153767421975715
2022-02-23,2022-02-23,130.09,131.4149532556378,-1.3249532556378085
2022-02-24,2022-02-24,123.39,111.4831656092204,11.906834390779593
2022-02-25,2022-02-25,119.96,96.30441993023769,23.65558006976231
2022-02-26,2022-02-26,225.43,92.50172860076566,132.92827139923435
2022-02-27,2022-02-27,182.41,184.82998218230753,-2.4199821823075354
2022-02-28,2022-02-28,208.3,165.4790556913579,42.82094430864211
2022-03-01,2022-03-01,241.4,216.89003500652882,24.509964993471186
2022-03-02,2022-03-02,278.78,228.8469842686053,49.933015731394676
2022-03-03,2022-03-03,338.2,245.48964397832066,92.71035602167933
2022-03-04,2022-03-04,358.78,276.90735248979,81.87264751020996
2022-03-05,2022-03-05,344.4,294.94870148411,49.45129851588996
2022-03-06,2022-03-06,340.8,308.92430476953155,31.875695230468466
2022-03-07,2022-03-07,410.1,333.9588668917312,76.14113310826883
2022-03-08,2022-03-08,487.57,398.9011452227161,88.66885477728391
2022-03-09,2022-03-09,446.25,449.29029145137855,-3.0402914513785504
2022-03-10,2022-03-10,279.15,411.09348117685647,-131.9434811768565
2022-03-11,2022-03-11,80.44,293.1348098127514,-212.69480981275143
2022-03-12,2022-03-12,124.25,158.61768001084712,-34.367680010847124
2022-03-13,2022-03-13,115.1,198.57794039665254,-83.47794039665254
2022-03-14,2022-03-14,281.44,174.27476897549298,107.16523102450702
2022-03-15,2022-03-15,300.54,302.9457374370304,-2.405737437030382
2022-03-16,2022-03-16,245.3,279.7436407600999,-34.44364076009987
2022-03-17,2022-03-17,225.41,235.3713295788021,-9.961329578802093
2022-03-18,2022-03-18,228.9,205.48137765907867,23.41862234092133
2022-03-19,2022-03-19,130.95,205.89335959798834,-74.94335959798835
2022-03-20,2022-03-20,49.04,152.4142308488972,-103.37423084889721
2022-03-21,2022-03-21,205.75,126.27367573659122,79.47632426340878
2022-03-22,2022-03-22,236.49,242.95520076704523,-6.465200767045218
2022-03-23,2022-03-23,236.53,226.62309144482904,9.906908555170958
2022-03-24,2022-03-24,238.0,216.25622726337983,21.743772736620173
2022-03-25,2022-03-25,244.38,195.50365922923808,48.876340770761914
2022-03-26,2022-03-26,189.55,202.02173042054278,-12.47173042054277
2022-03-27,2022-03-27,199.97,183.8142772776279,16.155722722372104
2022-03-28,2022-03-28,221.57,226.83357229532368,-5.263572295323684
2022-03-29,2022-03-29,250.18,249.2443985715491,0.9356014284508944
2022-03-30,2022-03-30,271.03,261.54251841072454,9.487481589275433
2022-03-31,2022-03-31,209.19,250.42174491008348,-41.23174491008348
2022-04-01,2022-04-01,160.13,185.26588498107918,-25.135884981079187
2022-04-02,2022-04-02,166.4,155.57292602214966,10.827073977850347
2022-04-03,2022-04-03,172.89,175.4716439008939,-2.5816439008939085
2022-04-04,2022-04-04,75.33,199.81494468210852,-124.48494468210852
2022-04-05,2022-04-05,183.02,140.54108580955779,42.478914190442225
2022-04-06,2022-04-06,121.33,215.86460145317315,-94.53460145317315
2022-04-07,2022-04-07,74.15,118.96023156947284,-44.81023156947283
2022-04-08,2022-04-08,120.87,80.99102675173238,39.87897324826763
2022-04-09,2022-04-09,59.83,101.91068460365395,-42.08068460365395
